Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 678.363702, Charging Time: 54.983166
Start Time: 713.589804, Charging Time: 26.131211
Start Time: 741.201420, Charging Time: 0.779301
Start Time: 722.298539, Charging Time: 26.473774
Start Time: 727.810028, Charging Time: 23.742253
Start Time: 743.908611, Charging Time: 9.595804
Start Time: 697.456143, Charging Time: 58.001204
Start Time: 722.760016, Charging Time: 47.174549
Start Time: 765.346697, Charging Time: 13.507384
Start Time: 790.731765, Charging Time: 5.645300
Start Time: 770.703518, Charging Time: 29.275071
Start Time: 803.719158, Charging Time: 1.502568
Start Time: 773.069973, Charging Time: 33.477187
Start Time: 771.322444, Charging Time: 35.616228
Start Time: 754.895311, Charging Time: 52.568692
Start Time: 798.746846, Charging Time: 8.895397
Start Time: 791.817821, Charging Time: 18.790571
Start Time: 776.140129, Charging Time: 35.308006
Start Time: 790.609695, Charging Time: 25.255638
Start Time: 786.227398, Charging Time: 30.424402
Start Time: 815.480911, Charging Time: 1.652402
Start Time: 820.130474, Charging Time: 4.052510
Start Time: 804.514737, Charging Time: 20.158032
Start Time: 803.223062, Charging Time: 35.673838
Start Time: 837.460711, Charging Time: 1.726604
Start Time: 802.529213, Charging Time: 36.864999
--------------------------------------
Average Charging Time: 36.084500 mins
======================================
Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 11.304998, Charging Time: 16.116372
Start Time: 9.827032, Charging Time: 28.897754
Start Time: 37.537883, Charging Time: 16.591731
Start Time: 23.833337, Charging Time: 36.017390
Start Time: 4.405690, Charging Time: 59.648041
Start Time: 49.099509, Charging Time: 21.891886
Start Time: 73.614237, Charging Time: 15.815166
Start Time: 28.762012, Charging Time: 61.226560
Start Time: 68.300827, Charging Time: 26.774869
Start Time: 66.742630, Charging Time: 32.546735
Start Time: 62.010795, Charging Time: 42.126697
Start Time: 71.156189, Charging Time: 36.467801
Start Time: 114.407134, Charging Time: 0.773903
Start Time: 79.194958, Charging Time: 41.123284
Start Time: 111.367533, Charging Time: 12.736270
Start Time: 79.689218, Charging Time: 52.662399
Start Time: 125.886148, Charging Time: 22.008824
Start Time: 93.061529, Charging Time: 62.251978
Start Time: 125.524542, Charging Time: 39.782004
Start Time: 118.963767, Charging Time: 47.659228
Start Time: 126.572257, Charging Time: 43.153530
Start Time: 117.430717, Charging Time: 58.898973
Start Time: 115.635129, Charging Time: 62.296240
Start Time: 142.697515, Charging Time: 41.960115
Start Time: 146.712430, Charging Time: 40.794209
Start Time: 128.967044, Charging Time: 63.335904
Start Time: 179.226200, Charging Time: 15.302788
Start Time: 149.774004, Charging Time: 52.209915
Start Time: 189.696868, Charging Time: 14.751202
Start Time: 196.978906, Charging Time: 8.870502
Start Time: 163.408790, Charging Time: 46.127408
Start Time: 222.962746, Charging Time: 7.605646
Start Time: 195.323692, Charging Time: 35.768870
Start Time: 227.951142, Charging Time: 10.855378
Start Time: 242.456527, Charging Time: 10.984854
Start Time: 226.241400, Charging Time: 42.567908
Start Time: 254.079655, Charging Time: 23.169883
Start Time: 210.391797, Charging Time: 71.117721
Start Time: 283.582780, Charging Time: 12.074008
Start Time: 257.986621, Charging Time: 37.766786
Start Time: 255.710050, Charging Time: 42.546726
Start Time: 282.966025, Charging Time: 22.710613
Start Time: 292.479845, Charging Time: 15.600806
Start Time: 244.406391, Charging Time: 65.954116
Start Time: 261.379133, Charging Time: 58.380009
Start Time: 271.707130, Charging Time: 52.212881
Start Time: 301.970057, Charging Time: 22.861323
Start Time: 306.499040, Charging Time: 23.857945
Start Time: 281.078369, Charging Time: 51.868156
Start Time: 274.675102, Charging Time: 63.512601
Start Time: 276.319970, Charging Time: 63.731938
Start Time: 307.805472, Charging Time: 32.264675
Start Time: 325.795304, Charging Time: 17.299861
Start Time: 352.383627, Charging Time: 2.225367
Start Time: 345.641613, Charging Time: 13.692626
Start Time: 305.116091, Charging Time: 57.241771
Start Time: 339.394567, Charging Time: 35.424875
Start Time: 315.921611, Charging Time: 61.672915
Start Time: 382.005572, Charging Time: 17.632544
Start Time: 354.543162, Charging Time: 50.234302
Start Time: 390.766151, Charging Time: 14.963011
Start Time: 389.489969, Charging Time: 22.279971
Start Time: 405.551356, Charging Time: 14.200680
Start Time: 384.225883, Charging Time: 42.506100
Start Time: 410.738738, Charging Time: 18.035272
Start Time: 427.094380, Charging Time: 8.120994
Start Time: 381.748214, Charging Time: 66.093731
Start Time: 446.518558, Charging Time: 16.185597
Start Time: 449.712020, Charging Time: 13.351039
Start Time: 458.039737, Charging Time: 28.918379
Start Time: 456.367329, Charging Time: 30.963308
Start Time: 459.747557, Charging Time: 35.398298
Start Time: 479.674813, Charging Time: 18.926444
Start Time: 499.691822, Charging Time: 1.464505
Start Time: 455.928294, Charging Time: 59.637979
Start Time: 521.309371, Charging Time: 7.479648
Start Time: 493.173326, Charging Time: 46.452986
Start Time: 497.540554, Charging Time: 49.674418
Start Time: 492.657717, Charging Time: 54.820456
Start Time: 486.422750, Charging Time: 66.979574
Start Time: 559.141593, Charging Time: 10.328744
Start Time: 530.489452, Charging Time: 44.764867
Start Time: 581.870951, Charging Time: 0.598630
Start Time: 573.031204, Charging Time: 10.006081
Start Time: 547.162410, Charging Time: 41.545680
Start Time: 581.366208, Charging Time: 10.640633
Start Time: 542.906582, Charging Time: 55.119217
Start Time: 595.871973, Charging Time: 2.795928
Start Time: 594.311023, Charging Time: 17.022016
Start Time: 590.081533, Charging Time: 28.747184
Start Time: 606.975804, Charging Time: 15.439405
Start Time: 567.890652, Charging Time: 68.234274
Start Time: 588.110811, Charging Time: 58.623109
Start Time: 646.167956, Charging Time: 11.519200
Start Time: 670.640425, Charging Time: 4.789210
Start Time: 670.727715, Charging Time: 9.535526
Start Time: 642.894378, Charging Time: 37.751102
