Statistics for AC 11kWh Charger (0-20%):
--------------------------------------
Start Time: 187.822695, Charging Time: 26.233037
Start Time: 186.855638, Charging Time: 34.099403
Start Time: 209.024261, Charging Time: 12.121519
Start Time: 196.437330, Charging Time: 28.518021
Start Time: 221.423704, Charging Time: 3.942845
Start Time: 221.961747, Charging Time: 3.671734
Start Time: 197.110151, Charging Time: 34.578240
Start Time: 214.546721, Charging Time: 25.195643
Start Time: 229.493937, Charging Time: 10.956777
Start Time: 219.271342, Charging Time: 22.274286
Start Time: 234.044983, Charging Time: 8.358666
Start Time: 250.951336, Charging Time: 8.057379
Start Time: 243.764017, Charging Time: 18.669702
Start Time: 231.988446, Charging Time: 33.197365
Start Time: 242.761671, Charging Time: 22.435482
Start Time: 261.728817, Charging Time: 4.598103
Start Time: 252.760886, Charging Time: 15.699022
Start Time: 250.967588, Charging Time: 20.962033
Start Time: 245.107102, Charging Time: 30.815734
Start Time: 269.587284, Charging Time: 8.002743
Start Time: 275.109164, Charging Time: 4.382611
Start Time: 264.063267, Charging Time: 19.069797
Start Time: 282.886862, Charging Time: 7.559876
Start Time: 280.451339, Charging Time: 18.073251
Start Time: 262.635405, Charging Time: 38.584372
Start Time: 295.429115, Charging Time: 5.853286
Start Time: 280.176221, Charging Time: 21.358236
Start Time: 287.411421, Charging Time: 17.872896
Start Time: 302.717202, Charging Time: 6.022412
Start Time: 295.979606, Charging Time: 14.475299
Start Time: 289.245500, Charging Time: 25.040313
Start Time: 297.791047, Charging Time: 19.361735
Start Time: 309.463094, Charging Time: 8.275265
Start Time: 313.864003, Charging Time: 4.873148
Start Time: 298.622519, Charging Time: 20.820251
Start Time: 294.244412, Charging Time: 29.339187
Start Time: 295.569543, Charging Time: 28.646475
Start Time: 296.484823, Charging Time: 28.363230
Start Time: 298.977762, Charging Time: 29.429925
Start Time: 306.152508, Charging Time: 23.569149
Start Time: 326.689102, Charging Time: 6.000130
Start Time: 306.065111, Charging Time: 38.511859
Start Time: 314.461824, Charging Time: 30.786421
Start Time: 314.312608, Charging Time: 33.869238
Start Time: 329.894982, Charging Time: 19.576470
Start Time: 325.909115, Charging Time: 30.646539
Start Time: 336.566403, Charging Time: 20.053658
Start Time: 358.011511, Charging Time: 3.420983
Start Time: 326.578111, Charging Time: 35.207383
Start Time: 352.562073, Charging Time: 9.427507
Start Time: 354.261628, Charging Time: 15.849024
Start Time: 351.057665, Charging Time: 20.628917
Start Time: 375.964104, Charging Time: 0.664662
Start Time: 358.550570, Charging Time: 20.240278
Start Time: 345.911601, Charging Time: 33.728627
Start Time: 376.696016, Charging Time: 3.287237
Start Time: 364.056020, Charging Time: 18.025732
Start Time: 371.826509, Charging Time: 12.868560
Start Time: 371.514585, Charging Time: 13.484568
Start Time: 355.270082, Charging Time: 31.888240
Start Time: 384.693034, Charging Time: 3.380816
Start Time: 356.668313, Charging Time: 34.001457
Start Time: 370.803575, Charging Time: 22.337336
Start Time: 364.951391, Charging Time: 35.713267
Start Time: 386.585820, Charging Time: 15.258800
Start Time: 398.117041, Charging Time: 5.541665
Start Time: 393.629075, Charging Time: 13.457054
Start Time: 391.415005, Charging Time: 15.702792
Start Time: 392.395833, Charging Time: 15.651010
Start Time: 373.625363, Charging Time: 34.691757
Start Time: 413.670037, Charging Time: 0.640140
Start Time: 385.511244, Charging Time: 29.344902
Start Time: 401.932911, Charging Time: 20.647073
Start Time: 420.170856, Charging Time: 3.044834
Start Time: 405.710379, Charging Time: 19.437497
Start Time: 407.350997, Charging Time: 21.870816
Start Time: 416.826557, Charging Time: 17.160904
Start Time: 419.061615, Charging Time: 17.623562
Start Time: 404.196131, Charging Time: 32.657134
Start Time: 416.781149, Charging Time: 20.097705
Start Time: 413.888296, Charging Time: 23.195689
Start Time: 411.842037, Charging Time: 27.730389
Start Time: 409.439214, Charging Time: 30.151236
Start Time: 429.206592, Charging Time: 11.057281
Start Time: 437.113873, Charging Time: 3.873401
Start Time: 448.293403, Charging Time: 3.521287
Start Time: 442.254422, Charging Time: 10.386833
Start Time: 428.310321, Charging Time: 26.699900
Start Time: 439.002624, Charging Time: 17.148007
Start Time: 426.232556, Charging Time: 32.896991
Start Time: 444.711679, Charging Time: 14.732223
Start Time: 445.003679, Charging Time: 16.260669
Start Time: 444.464786, Charging Time: 20.684900
Start Time: 460.185452, Charging Time: 8.731854
Start Time: 456.876485, Charging Time: 12.960426
Start Time: 433.353941, Charging Time: 38.395989
Start Time: 439.653047, Charging Time: 34.364600
Start Time: 440.210869, Charging Time: 35.475166
Start Time: 462.901084, Charging Time: 12.827711
Start Time: 452.407554, Charging Time: 23.498540
Start Time: 449.083635, Charging Time: 30.219288
Start Time: 470.052306, Charging Time: 15.135153
Start Time: 460.536634, Charging Time: 25.579509
Start Time: 487.696345, Charging Time: 1.215537
Start Time: 466.802077, Charging Time: 25.932251
Start Time: 472.384454, Charging Time: 21.230834
Start Time: 469.445452, Charging Time: 27.744749
Start Time: 480.486048, Charging Time: 17.364954
Start Time: 459.679622, Charging Time: 38.699166
Start Time: 464.386368, Charging Time: 35.030883
Start Time: 492.292483, Charging Time: 10.432207
Start Time: 496.860356, Charging Time: 8.130411
Start Time: 473.876029, Charging Time: 33.393669
Start Time: 478.449756, Charging Time: 28.840246
Start Time: 487.921842, Charging Time: 30.890472
Start Time: 519.332963, Charging Time: 0.296363
Start Time: 495.197567, Charging Time: 26.153115
Start Time: 503.306517, Charging Time: 21.659520
Start Time: 518.053358, Charging Time: 16.351833
Start Time: 518.919959, Charging Time: 17.591776
Start Time: 522.324766, Charging Time: 15.349149
Start Time: 525.498639, Charging Time: 17.041815
Start Time: 520.097686, Charging Time: 28.109828
Start Time: 517.807064, Charging Time: 33.399611
Start Time: 537.950612, Charging Time: 13.850676
Start Time: 524.177050, Charging Time: 28.404456
Start Time: 549.725057, Charging Time: 3.498205
Start Time: 533.019809, Charging Time: 21.184725
Start Time: 528.844604, Charging Time: 26.740160
Start Time: 525.816447, Charging Time: 35.575380
Start Time: 537.849927, Charging Time: 25.166586
Start Time: 552.628217, Charging Time: 10.623171
Start Time: 557.354150, Charging Time: 10.662142
Start Time: 565.145308, Charging Time: 3.996633
Start Time: 556.705101, Charging Time: 12.701752
Start Time: 541.098094, Charging Time: 29.858717
Start Time: 547.170881, Charging Time: 24.014879
Start Time: 566.690590, Charging Time: 9.851199
Start Time: 573.966003, Charging Time: 3.382743
Start Time: 563.828230, Charging Time: 19.925516
Start Time: 563.671530, Charging Time: 26.104493
Start Time: 567.323683, Charging Time: 27.475567
Start Time: 560.478723, Charging Time: 34.630412
Start Time: 588.464997, Charging Time: 9.109000
Start Time: 597.160021, Charging Time: 2.349464
Start Time: 587.557823, Charging Time: 12.302034
Start Time: 574.899646, Charging Time: 25.295955
Start Time: 584.558815, Charging Time: 21.519497
Start Time: 574.821660, Charging Time: 33.257658
Start Time: 599.451600, Charging Time: 8.640803
Start Time: 582.603203, Charging Time: 25.541716
Start Time: 593.403466, Charging Time: 15.042371
Start Time: 590.134629, Charging Time: 19.708505
