Statistics for AC 11kWh Charger (0-20%):
--------------------------------------
Start Time: 97.374985, Charging Time: 9.553366
Start Time: 91.369915, Charging Time: 70.378178
Start Time: 158.890946, Charging Time: 9.961146
Start Time: 246.179763, Charging Time: 28.063979
Start Time: 290.996974, Charging Time: 11.366324
Start Time: 354.566223, Charging Time: 16.298101
Start Time: 440.016844, Charging Time: 71.194187
Start Time: 601.676900, Charging Time: 0.254057
Start Time: 702.161907, Charging Time: 60.571501
Start Time: 975.176966, Charging Time: 64.878060
Start Time: 1111.641849, Charging Time: 72.400871
Start Time: 1297.091493, Charging Time: 11.648518
--------------------------------------
Average Charging Time: 35.547357 mins
======================================
Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 18.029432, Charging Time: 18.099761
Start Time: 39.970852, Charging Time: 51.649470
Start Time: 142.903215, Charging Time: 31.590071
Start Time: 181.192045, Charging Time: 30.501305
Start Time: 174.695215, Charging Time: 38.784936
Start Time: 150.911574, Charging Time: 64.864798
Start Time: 212.436324, Charging Time: 9.508462
Start Time: 180.399611, Charging Time: 41.597805
Start Time: 236.898456, Charging Time: 4.134476
Start Time: 232.829791, Charging Time: 14.508729
Start Time: 199.237993, Charging Time: 52.636759
Start Time: 239.649363, Charging Time: 24.805171
Start Time: 245.520844, Charging Time: 30.570150
Start Time: 245.588180, Charging Time: 55.664102
Start Time: 296.291441, Charging Time: 21.626511
Start Time: 362.338021, Charging Time: 21.817315
Start Time: 399.557772, Charging Time: 23.729258
Start Time: 432.633071, Charging Time: 0.759696
Start Time: 476.210607, Charging Time: 40.268312
Start Time: 513.044669, Charging Time: 34.373698
Start Time: 525.572921, Charging Time: 30.676289
Start Time: 619.572054, Charging Time: 55.873858
Start Time: 871.833234, Charging Time: 48.967423
Start Time: 986.397836, Charging Time: 38.539349
Start Time: 997.859962, Charging Time: 55.653167
Start Time: 1115.563689, Charging Time: 27.863784
Start Time: 1272.980526, Charging Time: 0.785774
Start Time: 1278.398893, Charging Time: 3.731826
Start Time: 1278.877912, Charging Time: 12.609252
Start Time: 1294.697252, Charging Time: 52.569184
Start Time: 1355.151248, Charging Time: 45.259219
Start Time: 1386.825018, Charging Time: 26.850338
--------------------------------------
Average Charging Time: 31.589695 mins
======================================
Statistics for AC 22kWh Charger (0-20%):
--------------------------------------
Start Time: 2.546467, Charging Time: 1.464996
Start Time: 4.864099, Charging Time: 13.603360
Start Time: 5.613529, Charging Time: 13.244641
Start Time: 4.426320, Charging Time: 14.644115
Start Time: 8.966612, Charging Time: 12.152175
Start Time: 8.624677, Charging Time: 14.965719
Start Time: 9.537979, Charging Time: 15.784487
Start Time: 8.677051, Charging Time: 18.376044
Start Time: 26.422699, Charging Time: 6.663439
Start Time: 12.490509, Charging Time: 20.774951
Start Time: 28.283337, Charging Time: 6.515873
Start Time: 22.558684, Charging Time: 12.559508
Start Time: 16.259650, Charging Time: 18.900449
Start Time: 15.843843, Charging Time: 19.337333
Start Time: 25.038349, Charging Time: 10.178825
Start Time: 23.238926, Charging Time: 12.958683
Start Time: 30.554622, Charging Time: 6.550869
Start Time: 23.066903, Charging Time: 14.492819
Start Time: 22.511076, Charging Time: 19.673364
Start Time: 32.306218, Charging Time: 14.602770
Start Time: 17.151259, Charging Time: 30.221333
Start Time: 36.175973, Charging Time: 11.438872
Start Time: 49.487904, Charging Time: 1.834609
Start Time: 16.614071, Charging Time: 37.530306
Start Time: 15.538157, Charging Time: 38.657182
Start Time: 26.619863, Charging Time: 33.443079
Start Time: 37.252473, Charging Time: 27.290284
Start Time: 31.545381, Charging Time: 38.397671
Start Time: 60.396127, Charging Time: 12.141011
Start Time: 71.139278, Charging Time: 2.292478
Start Time: 45.048607, Charging Time: 30.624477
Start Time: 72.405318, Charging Time: 4.371993
Start Time: 39.769268, Charging Time: 37.029242
Start Time: 59.253336, Charging Time: 17.754627
Start Time: 75.835038, Charging Time: 8.518993
Start Time: 58.816233, Charging Time: 27.688075
Start Time: 61.830396, Charging Time: 26.025274
Start Time: 74.041792, Charging Time: 14.642240
Start Time: 60.433074, Charging Time: 33.612408
Start Time: 72.000933, Charging Time: 22.462298
Start Time: 57.512722, Charging Time: 37.365666
Start Time: 69.000168, Charging Time: 29.703850
Start Time: 72.495193, Charging Time: 28.765176
Start Time: 70.641225, Charging Time: 31.128544
Start Time: 79.121582, Charging Time: 22.845457
Start Time: 75.410248, Charging Time: 26.599678
Start Time: 73.095519, Charging Time: 32.122222
Start Time: 72.725693, Charging Time: 32.617839
